"n","p1","p2","r","zero_benchmark","nb_discoveries","nb_real_discoveries","distance_tot","distance_U","distance_V","sinTheta_tot","sinTheta_U","sinTheta_V","prediction_tot","prediction_U","prediction_V","TPR","TNR","FPR","FNR","noise","method","prop_missing","overlapping_amount","n.1","r_pca","exp"
100,50,50,2,2,100,88,2.46543605340017,1.85993749895717,1.53706620215384,3.7708005758774,3.90929404234747,3.09265653784313,2.08654788806743,366.368490419572,199.898108587956,0.284090909090909,0.583333333333333,0.715909090909091,0.166666666666667,1,"Alt-0.01",0.25,0,100,0,1
100,50,50,2,2,100,57,2.25599330245403,1.6467447518869,1.53915758093533,2.80904888086232,3.11748273981625,3.17988919287178,1.53889852314477,263.099304204888,207.15431724104,0.350877192982456,0.767441860465116,0.649122807017544,0.333333333333333,1,"Alt-0.05",0.25,0,100,0,1
100,50,50,2,2,100,35,1.95283791724744,1.47975016205351,1.27200847280672,2.79548122316954,2.65723939317611,2.57484923821564,1.51761203369242,203.17925133503,166.273386318416,0.485714285714286,0.8,0.514285714285714,0.433333333333333,1,"Alt-0.1",0.25,0,100,0,1
100,50,50,2,2,100,4,2.65633019592379,1.96964389812137,1.78229992444967,4.0056204376487,3.39022627796637,3.31522554047642,1.87913716461391,347.627097350884,259.623354431632,0.25,0.697916666666667,0.75,0.966666666666667,1,"Alt-0.5",0.25,0,100,0,1
100,50,50,2,2,100,100,3.32528001295237,2.37092251653179,2.31306263131725,9.24517830998389,7.4257942164351,6.14458269018103,5.64542376672522,641.554027031282,514.742742908695,0.3,0,0.7,0,1,"CCA-mean",0.25,0,100,0,1
100,50,50,2,2,100,100,3.23863401542262,2.3380894180532,2.21962550098921,8.99265127271632,7.8360979253547,5.63467101162397,5.1074155292145,625.48557434983,462.749220517263,0.3,0,0.7,0,1,"CCA-median",0.25,0,100,0,1
100,50,50,2,2,100,100,2.97719177128207,2.02070350022717,2.16674385217528,7.86029255633047,4.85610344112054,5.00648906367043,3.57052420165339,440.618676555124,439.295476956784,0.3,0,0.7,0,1,"RRR",0.3,0,100,0,1
100,50,50,2,2,100,100,2.82400258982677,1.88685339312651,2.06953241211901,5.98377566056172,3.70579058223287,4.89584195275058,2.6875686682284,356.92343256598,366.98962284822,0.3,0,0.7,0,1,"Alt-1e-04",0.3,0,100,0,1
100,50,50,2,2,100,100,2.7812307174812,1.87598849907047,2.03957308686516,5.66282444468426,3.72977898348002,4.61117614000442,2.53019554944946,347.344630203005,354.576398868961,0.3,0,0.7,0,1,"Alt-5e-04",0.3,0,100,0,1
100,50,50,2,2,100,98,2.71331580397348,1.84245122062664,1.97116128014313,5.00953224840578,3.53231777765796,4.44372167745629,2.37340336052367,336.294380761671,317.868236331233,0.306122448979592,1,0.693877551020408,0,1,"Alt-0.001",0.3,0,100,0,1
100,50,50,2,2,100,90,2.34152730546933,1.6413936650287,1.66682554273782,3.45501126795238,3.20899667642903,3.41723240750948,1.49558132777948,279.564946722572,279.904809003053,0.288888888888889,0.6,0.711111111111111,0.133333333333333,1,"Alt-0.005",0.3,0,100,0,1
100,50,50,2,2,100,81,2.28541091184982,1.58766606668564,1.64265539275923,3.26378307701739,3.08991543066108,3.40991362185628,1.52908675442436,258.209839004769,272.549136594826,0.296296296296296,0.684210526315789,0.703703703703704,0.2,1,"Alt-0.01",0.3,0,100,0,1
100,50,50,2,2,100,52,2.55633679090171,1.77957654483739,1.81979273313917,2.84291309655804,3.24304641979887,3.27191598266981,1.41741270049124,297.664471642932,285.245307537967,0.25,0.645833333333333,0.75,0.566666666666667,1,"Alt-0.05",0.3,0,100,0,1
100,50,50,2,2,100,5,2.03724035215223,1.4082141145973,1.47216889644568,1.17111064842932,2.89453002166865,2.92690758644041,0.186218453454391,205.634332109332,183.083124678241,0.2,0.694736842105263,0.8,0.966666666666667,1,"Alt-0.1",0.3,0,100,0,1
100,50,50,2,2,100,4,2.41577367780989,1.61421519349204,1.79729568281868,2.38087305794866,2.9951344463741,3.116697680836,1.18361631920464,263.517624661344,280.226149453636,0.25,0.697916666666667,0.75,0.966666666666667,1,"Alt-0.5",0.3,0,100,0,1
100,50,50,2,2,100,100,3.57747227460692,2.26630975952948,2.72996522442998,11.7148939036961,6.02381013784694,7.66702707477664,6.12247921967267,489.779003219585,717.771456409834,0.3,0,0.7,0,1,"CCA-mean",0.3,0,100,0,1
100,50,50,2,2,100,99,3.72115497730023,2.34142975961493,2.81709634255925,13.0588429041985,6.37419464972267,8.27883511618475,6.57198748236507,502.459879540897,737.31749416607,0.292929292929293,0,0.707070707070707,0.0333333333333333,1,"CCA-median",0.3,0,100,0,1
100,50,50,2,2,100,100,2.62135292548235,1.8038130552175,1.90191342543375,6.47686009812028,5.69376929017197,6.38533512810544,3.06934327511464,364.732559687514,397.80311970591,0.3,0,0.7,0,1,"RRR",0,0.5,100,0,1
100,50,50,2,2,100,100,2.62763602900017,1.79555928481198,1.9177008028387,6.81707993467766,5.4966449709185,6.81196581496404,3.14713405469282,357.509302325385,389.436537898942,0.3,0,0.7,0,1,"Alt-1e-04",0,0.5,100,0,1
100,50,50,2,2,100,100,2.59574705759079,1.77887540713538,1.88929414271182,6.53242605656422,5.39397246824813,6.51817954098573,3.06961143959231,353.04370889619,376.939593467263,0.3,0,0.7,0,1,"Alt-5e-04",0,0.5,100,0,1
100,50,50,2,2,100,100,2.56004431978319,1.76114584406263,1.85657219531801,6.18877319847054,5.27570687745906,6.14285755193191,2.98441093682075,348.779631413776,362.598778340916,0.3,0,0.7,0,1,"Alt-0.001",0,0.5,100,0,1
100,50,50,2,2,100,98,2.33929529170045,1.64548323045517,1.65788801827548,4.43238977914615,4.7002961916904,4.15911488445679,2.49502503774607,322.39232838693,282.075966152252,0.295918367346939,0.5,0.704081632653061,0.0333333333333333,1,"Alt-0.005",0,0.5,100,0,1
100,50,50,2,2,100,95,2.11551482760656,1.5117858066248,1.47209305835633,3.45465772659785,4.00200854347746,3.22347484206412,2.13276915009709,278.489389843124,225.79428454205,0.294736842105263,0.6,0.705263157894737,0.0666666666666667,1,"Alt-0.01",0,0.5,100,0,1
100,50,50,2,2,100,71,1.85277708527799,1.2754852913885,1.33446049923974,3.02584357865851,3.13545128752409,3.8580924917805,1.48738615084893,196.916633243179,178.504616109989,0.366197183098592,0.862068965517241,0.633802816901408,0.133333333333333,1,"Alt-0.05",0,0.5,100,0,1
100,50,50,2,2,100,59,1.78079262503626,1.17604818375931,1.31375736436797,2.77454545107605,2.59034029751132,2.85799885548937,1.24816203785809,133.940372596842,161.951232397676,0.372881355932203,0.804878048780488,0.627118644067797,0.266666666666667,1,"Alt-0.1",0,0.5,100,0,1
100,50,50,2,2,100,8,2.53116780464499,1.79580353459046,1.77410046390146,3.52887268510286,3.52371811498579,3.10967940587004,1.72738233926338,308.207259802169,294.714268845396,0.375,0.706521739130435,0.625,0.9,1,"Alt-0.5",0,0.5,100,0,1
100,50,50,2,2,100,100,2.63885839565503,1.79989242343109,1.92905085394647,6.90535205523178,5.55996976532811,6.88180565998167,3.17196332975063,360.964864679429,395.151215549209,0.3,0,0.7,0,1,"CCA-mean",0,0.5,100,0,1
100,50,50,2,2,100,100,2.63885839565503,1.79989242343109,1.92905085394647,6.90535205523178,5.55996976532811,6.88180565998167,3.17196332975063,360.964864679429,395.151215549209,0.3,0,0.7,0,1,"CCA-median",0,0.5,100,0,1
100,50,50,2,2,100,99,3.02885555390969,2.24459814220508,2.0334496046784,7.51665118231897,6.19531822576935,5.8519884892589,3.49014804994123,546.848606890621,394.360595970632,0.292929292929293,0,0.707070707070707,0.0333333333333333,1,"RRR",0.05,0.5,100,0,1
100,50,50,2,2,100,100,3.24349182946594,2.30897117058906,2.27789561158274,11.0156928781471,6.70132621977245,8.19927789940766,4.14399071863162,524.679193809944,537.639866767793,0.3,0,0.7,0,1,"Alt-1e-04",0.05,0.5,100,0,1
100,50,50,2,2,100,100,3.17123538672661,2.26900957384287,2.21502067461963,10.476283429662,6.4119836389096,8.10225075941347,3.9832572673531,513.630319151267,503.705981357037,0.3,0,0.7,0,1,"Alt-5e-04",0.05,0.5,100,0,1
100,50,50,2,2,100,100,3.06282704456905,2.2074898249854,2.12076147430443,9.73921419289901,6.09921075884268,7.96429132025001,3.72448375500937,495.331295406627,453.281849824581,0.3,0,0.7,0,1,"Alt-0.001",0.05,0.5,100,0,1
100,50,50,2,2,100,95,2.08538332930168,1.5481590646649,1.39435631971005,4.24366082326201,5.17944015383059,4.68738427170028,1.71362522747218,238.683365965623,180.514471704278,0.305263157894737,0.8,0.694736842105263,0.0333333333333333,1,"Alt-0.005",0.05,0.5,100,0,1
100,50,50,2,2,100,89,2.1592963414439,1.5243466713856,1.52445832006445,3.84416254639827,5.01918933519525,4.60862458861008,1.72138938772201,214.979704669352,228.019733253832,0.325842696629214,0.909090909090909,0.674157303370786,0.0333333333333333,1,"Alt-0.01",0.05,0.5,100,0,1
100,50,50,2,2,100,69,2.34451550473402,1.76252908687955,1.52438105748116,3.10465609434848,3.46396468849748,3.28944863065791,1.93645293655325,330.745392290035,250.128629019586,0.318840579710145,0.741935483870968,0.681159420289855,0.266666666666667,1,"Alt-0.05",0.05,0.5,100,0,1
100,50,50,2,2,100,49,2.42843450051551,1.83319376940902,1.58887399064085,2.64002069677839,3.44249089331864,3.16319345528298,1.83229189600352,349.115052189921,241.852504494416,0.285714285714286,0.686274509803922,0.714285714285714,0.533333333333333,1,"Alt-0.1",0.05,0.5,100,0,1
100,50,50,2,2,100,7,2.73991510100845,1.91309814583446,1.9614255640116,2.85383716467515,3.21994522859585,3.34382309090493,2.00787893614974,342.875970978929,344.098368957709,0,0.67741935483871,1,1,1,"Alt-0.5",0.05,0.5,100,0,1
100,50,50,2,2,100,100,3.31654461571757,2.43870483217783,2.24433901680313,11.6184342671959,7.86318817347903,8.20649725722282,4.24423789234351,591.277010681493,521.477397197508,0.3,0,0.7,0,1,"CCA-mean",0.05,0.5,100,0,1
100,50,50,2,2,100,100,3.2950641374533,2.37377314568798,2.28215251092478,11.4751562308121,7.42674316483116,8.38652080858099,4.21185468350948,551.286348594228,528.327566655998,0.3,0,0.7,0,1,"CCA-median",0.05,0.5,100,0,1
100,50,50,2,2,100,100,2.74415620040724,1.98031494668677,1.87710662773535,7.48889492157936,5.2826715090789,4.19673637681451,2.75840103486951,416.536056434293,290.677946929517,0.3,0,0.7,0,1,"RRR",0.1,0.5,100,0,1
100,50,50,2,2,100,100,2.69646812023967,1.9180848662922,1.76432189993117,6.94055817539127,5.13020166849597,3.95149652627526,2.66687901402683,389.799838994068,304.829033074271,0.3,0,0.7,0,1,"Alt-1e-04",0.1,0.5,100,0,1
100,50,50,2,2,100,100,2.6406928291589,1.88210158072226,1.73743550722139,6.51567633325376,4.86930669364493,3.93414931003954,2.49792751197849,372.864146417581,300.080404693718,0.3,0,0.7,0,1,"Alt-5e-04",0.1,0.5,100,0,1
100,50,50,2,2,100,100,2.57834015237145,1.84232602814959,1.71196323382279,6.04988782653941,4.55146321089445,3.91709476915292,2.30274243473435,349.174508309056,296.792595193189,0.3,0,0.7,0,1,"Alt-0.001",0.1,0.5,100,0,1
100,50,50,2,2,100,92,2.37785215610637,1.72553607176906,1.59497277453681,4.37894140305936,3.51657349336933,3.8966746789823,1.92932677631607,272.238440351074,230.096512511055,0.293478260869565,0.625,0.706521739130435,0.1,1,"Alt-0.005",0.1,0.5,100,0,1
